M80517.1
LC573552.1
AP015016.1
MG021305.1
MG021306.1
KF373730.1
OM022215.1
MT648642.1
MH101962.1
MH837514.1
MH590409.1
MH837521.1
LC573550.1
MH590421.1
DQ279927.1
NC_009334.1
HZ437644.1
MG021312.1
MB445486.1
MH590486.1
MH590432.1
MH590398.1
MH590572.1
MH590384.1
MH590428.1
MH590446.1
V01555.2
LS992244.1
MH590510.1
LN827556.1
LN827576.1
MH590467.1
MH590454.1
LN827580.1
LN827596.1
LN827560.1
LN827587.1
LN827578.1
MH590523.1
MH590456.1
LN827800.1
LN827575.1
LN827591.1
MH590447.1
MH590442.1
MH590474.1
LN827590.1
LN831023.1
LN827545.1
LN827548.2
LN827567.1
LN827583.1
LN827589.1
LN824209.1
LN827588.1
MH837525.1
MH590576.1
MT648653.1
LN827524.1
LN827544.1
LN827557.2
LN827547.1
LN824224.1
LN827570.1
LN827569.1
MT648655.1
LN827592.1
LN827572.1
LN827593.1
KT273942.1
LN827527.1
LS992260.1
MH837522.1
LN827564.1
LN824205.1
LN827594.1
LN827522.1
MH837528.1
LN827549.1
LN827561.1
LN827582.1
LN827526.1
MH590508.1
LN827562.1
MT648643.1
MH837515.1
LN827586.1
LN827525.1
LN827581.1
MH590546.1
LN827550.1
LN827563.2
LN827566.1
LN827571.1
LN827585.1
LN827799.1
MH590459.1
MH590543.1
LN827577.1
LN827552.1
LN827568.1
LN827546.1
LN824225.1
LN827573.1
LN827739.1
LN827565.1
MZ337823.1
KR063344.1
LN827558.1
LN827553.1
KT273949.1
MH837516.1
LN827559.1
LS992266.1
KC440852.1
LN824203.1
MH837517.1
LN827584.1
KR063345.1
KR063342.1
KP968264.1
LS992251.1
NC_007605.1
AJ507799.2
FV537018.1
FV537019.1
FV537020.1
FV537021.1
MH590558.1
MK540241.1
MK540242.1
MK540243.1
MK540244.1
MK540245.1
MK540246.1
MK540247.1
MK540248.1
MK540249.1
MK540250.1
MK540251.1
MK540252.1
MK540253.1
MK540254.1
MK540255.1
MK540256.1
MK540257.1
MK540258.1
MK540259.1
MK540260.1
MK540261.1
MK540262.1
MK540263.1
MK540264.1
MK540265.1
MK540266.1
MK540267.1
MK540268.1
MK540269.1
MK540270.1
MK540271.1
MK540272.1
MK540273.1
MK540274.1
MK540275.1
MK540276.1
MK540277.1
MK540278.1
MK540279.1
MK540280.1
MK540281.1
MK540282.1
MK540283.1
MK540284.1
MK540285.1
MK540286.1
MK540287.1
MK540288.1
MK540289.1
MK540290.1
MK540291.1
MK540292.1
MK540293.1
MK540294.1
MK540295.1
MK540296.1
MK540297.1
MK540298.1
MK540299.1
MK540300.1
MK540301.1
MK540302.1
MK540303.1
MK540304.1
MK540305.1
MK540306.1
MK540307.1
MK540308.1
MK540309.1
MK540310.1
MK540311.1
MK540312.1
MK540313.1
MK540314.1
MK540315.1
MK540316.1
MK540317.1
MK540318.1
MK540319.1
MK540320.1
MK540321.1
MK540322.1
MK540323.1
MK540324.1
MK540325.1
MK540326.1
MK540327.1
MK540328.1
MK540329.1
MK540330.1
MK540331.1
MK540332.1
MK540333.1
MK540334.1
MK540335.1
MK540336.1
MK540337.1
MK540338.1
MK540339.1
MK540340.1
MK540341.1
MK540342.1
MK540343.1
MK540344.1
MK540345.1
MK540346.1
MK540347.1
MK540348.1
MK540349.1
MK540350.1
MK540351.1
MK540352.1
MK540353.1
MK540354.1
MK540355.1
MK540356.1
MK540357.1
MK540358.1
MK540359.1
MK540360.1
MK540361.1
MK540362.1
MK540363.1
MK540364.1
MK540365.1
MK540366.1
MK540367.1
MK540368.1
MK540369.1
MK540370.1
MK540371.1
MK540372.1
MK540373.1
MK540374.1
MK540375.1
MK540376.1
MK540377.1
MK540378.1
MK540379.1
MK540380.1
MK540381.1
MK540382.1
MK540383.1
MK540384.1
MK540385.1
MK540386.1
MK540387.1
MK540388.1
MK540389.1
MK540390.1
MK540391.1
MK540392.1
MK540393.1
MK540394.1
MK540395.1
MK540396.1
MK540397.1
MK540398.1
MK540399.1
MK540400.1
MK540401.1
MK540402.1
MK540403.1
MK540404.1
MK540405.1
MK540406.1
MK540407.1
MK540408.1
MK540409.1
MK540410.1
MK540411.1
MK540412.1
MK540413.1
MK540414.1
MK540415.1
MK540416.1
MK540417.1
MK540418.1
MK540419.1
MK540420.1
MK540421.1
MK540422.1
MK540423.1
MK540424.1
MK540425.1
MK540426.1
MK540427.1
MK540428.1
MK540429.1
MK540430.1
MK540431.1
MK540432.1
MK540433.1
MK540434.1
MK540435.1
MK540436.1
MK540437.1
MK540438.1
MK540439.1
MK540440.1
MK540441.1
MK540442.1
MK540443.1
MK540444.1
MK540445.1
MK540446.1
MK540447.1
MK540448.1
MK540449.1
MK540450.1
MK540451.1
MK540452.1
MK540453.1
MK540454.1
MK540455.1
MK540456.1
MK540457.1
MK540458.1
MK540459.1
MK540460.1
MK540461.1
MK540462.1
MK540463.1
MK540464.1
MK540465.1
MK540466.1
MK540467.1
MK540468.1
MK540469.1
MK540470.1
AB850654.1
MT648649.1
KP968263.1
KR063343.1
KP968259.1
LN827555.1
KT001103.1
KP968261.1
MH590519.1
LN824226.1
KP968262.1
KT001102.1
LS992240.1
KC440851.1
LN827579.1
LN827595.1
MH590374.1
MH837527.1
LN824204.1
LC150338.1
LN827574.1
KP968257.1
MG298922.1
LN827597.1
LS992264.1
KT273943.1
KT273945.1
LS992256.1
MH837520.1
MG021317.1
LS992254.1
LN824208.1
AB850644.1
KT823508.1
MH837523.1
MG298924.1
AB850652.1
LN824142.1
MH837526.1
LN827551.1
MH837518.1
LN824206.1
KP968258.1
MG021309.1
MT648662.1
LS992250.1
MH590448.1
MG021308.1
LS992263.1
MH590382.1
KC207814.1
MH590569.1
MG021310.1
LS992268.1
LS992265.1
LS992258.1
KT273947.1
MH837519.1
MH590440.1
MG021311.1
KP968260.1
MT648652.1
KT273948.1
MG021313.1
AB850647.1
KT273944.1
LS992252.1
MH590551.1
MG298919.1
AY961628.3
MG021315.1
MG021314.1
MH590481.1
KT823507.1
MH590537.1
MG298921.1
LC149491.1
MG298928.1
MH590412.1
AB850648.1
MH590568.1
LS992257.1
LS992259.1
LS992261.1
MH590470.1
KT254013.1
KT273946.1
AB850656.1
KT823509.1
LS992249.1
LS992253.1
LN827523.1
LN824207.1
MT648645.1
MT648650.1
MG298920.1
KT823506.1
MH590389.1
KF992565.1
KF992568.1
JQ009376.2
AB850655.1
MG021316.1
MH590559.1
LS992255.1
AB850651.1
MH590544.1
MH590522.1
AB850643.1
LS992247.1
LC150741.1
LS992248.1
LS992269.1
MG298926.1
AB850650.1
AP019040.1
MG298927.1
LS992242.1
AP019129.1
AB850658.1
MT648648.1
AP019096.1
LC150337.1
MH590396.1
KF992570.1
AP019015.1
LC137018.1
KF992567.1
AP019030.1
AP019162.1
AP019114.1
AP019070.1
MH590476.1
AP019028.1
AP019158.1
AP019180.1
AP019013.1
AB850659.1
AP019172.1
MH590503.1
KC207813.1
MG021307.1
KC617875.1
AP019051.1
KX674065.1
AP019065.1
KF992566.1
MH590545.1
KX125051.1
MH590490.1
AP019083.1
AP019139.1
AP019175.1
OM022119.1
LS992277.1
MT648651.1
AP019121.1
LS992262.1
AP019135.1
MH590509.1
MH590501.1
MG298925.1
MG298917.1
MT648646.1
AP019148.1
AP019181.1
MH590553.1
LC150742.1
LC150327.1
MH590556.1
LS992267.1
MH590430.1
AB850653.1
KJ411974.1
KF992571.1
MH590383.1
AP019166.1
OM022199.1
AB828190.1
MH590504.1
MH590531.1
MH590473.1
MH590513.1
AP019184.1
OM022202.1
AP019086.1
AP019125.1
MH837524.1
MH590526.1
AP019131.1
AP019061.1
AP019177.1
MH590535.1
AP019082.1
MH590423.1
MH590478.1
MH590506.1
MH590399.1
MH590492.1
OM022181.1
OM022225.1
MH590375.1
MH590552.1
LS992243.1
MH590566.1
LS992246.1
AP019130.1
MH590394.1
MT648659.1
MH590557.1
MH590573.1
MH590463.1
MH590461.1
LC573556.1
AP019108.1
MH590449.1
MH590457.1
MH590466.1
MH590533.1
LR813019.1
MH590450.1
OM022219.1
MH590414.1
MH590418.1
AP019118.1
AP019014.1
MH590436.1
OM022206.1
MH590453.1
MH590511.1
LS992239.1
MH590445.1
OM022224.1
MH590500.1
MH590386.1
MH590489.1
MH590391.1
AP019106.1
MH590376.1
MH590395.1
OM022169.1
OM022190.1
MH590427.1
MH590469.1
MH590577.1
MH590370.1
MH101968.1
MH590468.1
MH590512.1
AP019078.1
OM022129.1
AP019113.1
MH590379.1
LC573553.1
LS992245.1
MH590549.1
MH590536.1
OM022197.1
MH590387.1
MH590539.1
MH590393.1
MT648656.1
MH590425.1
MH590505.1
OM022191.1
MH590562.1
AP019164.1
MH590417.1
AP019122.1
MH590493.1
AP019137.1
MH590403.1
AP019123.1
AP019188.1
MH590444.1
KP735248.1
KF992569.1
KX125052.1
KX674066.1
MH590407.1
MH590578.1
MT648654.1
AP019084.1
MH590482.1
OM022173.1
AP019044.1
AP019120.1
MH590575.1
MH590514.1
MH590564.1
MH590460.1
MH590441.1
LS992276.1
MH590404.1
AP019185.1
MH590390.1
OM022153.1
MH590532.1
MH590560.1
OM022144.1
MH590451.1
MH590548.1
MH590452.1
MH590497.1
MH590488.1
AP019097.1
AP019100.1
MH590479.1
OM022146.1
MH590405.1
MH590415.1
AP019171.1
MH590485.1
MH590487.1
MH590541.1
AP019027.1
OM022203.1
AP019168.1
MH590570.1
MH590422.1
MG298827.1
MH590516.1
AP019012.1
MH101965.1
AP019039.1
MH590529.1
MH590498.1
MK973061.1
AP019049.1
AP019134.1
MH590371.1
MH590408.1
OM022201.1
MH590527.1
MH590515.1
MH590542.1
AP019067.1
AP019052.1
AP019176.1
MH590477.1
MH590401.1
OM022208.1
MG298915.1
AP019072.1
OM022207.1
MH590521.1
MH590420.1
AP019104.1
AP019081.1
MH590381.1
MH144219.1
MH590520.1
OM022180.1
KF992564.1
MH590410.1
MH590471.1
MH590525.1
MG298833.1
MH590554.1
OM022196.1
MG298831.1
MH590413.1
MH883759.1
MH590431.1
AB850660.1
MG298898.1
OM022175.1
MH590484.1
MH590565.1
MH590388.1
OM022124.1
MH590534.1
MH590483.1
OM022184.1
OM022155.1
MH590494.1
MH590406.1
MH590424.1
MH590555.1
MH590507.1
MH101960.1
MH590378.1
AP019064.1
MH590419.1
MH101959.1
OM022131.1
MF547482.1
MH101957.1
MH590530.1
MH590465.1
MH590397.1
MG298914.1
MH590437.1
OM022125.1
MF547481.1
MH590455.1
OM022205.1
OM022210.1
MH590402.1
MH590380.1
MF547453.1
OM022170.1
MG298918.1
MH590392.1
MH590377.1
MG298911.1
MF547484.1
OM022223.1
OM022132.1
MH590411.1
MH590472.1
OM022126.1
OM022204.1
MG298892.1
MH590540.1
MG298923.1
